F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,label
34.846733,0.085622475,32.679363,34.954594,37.613815,4.934452,150.10303,342.10574,20.068136,10.157452,0.84772795,0.3654662,0.55278605,0.8059575,1.0963347,0.54354864,5.9372683,2.5800843,5.5685225,3.2838368,0.31341872,0.7242779,11.061749,1.1800677,14.232009,0.9155412,6.5881968,1.8727576,0.09710512,116.84636,0.011588257,1.0695034,0.6466828,0.8765808,10.782223,0.25684184,12.549255,0.7492965,27.60435,0.2381522,728.5695,0.295416,1393.9541,0.15917815,-80.3912,-1.0474644,1816.8298,0.11977329,1101.1375,0.23355621,-85.64527,-0.88880813,2811.8464,0.08585634,965.80695,0.3405659,-87.50866,-0.85337675,-18.800943,-0.42974535,28.458546,0.29408202,0.042600818,0.5677443,-0.016005589,-1.0326722,0.37891486,0.5856802,18.524721,0.4222928,20.652208,0.4635573,8.843169,1.5208114,-1.5139635,-8.5081215,2.2999887,4.436152,0.009674943,0.008561725,0.16888985,4.008016,2.0283976,0.325,0.1785637,0.148,0.15841718,-18.340912,0
35.49366,0.061029118,34.037865,35.691498,36.978886,2.941021,28.01426,17.151926,19.878944,6.1446514,0.8127575,0.4218076,0.48567122,0.7427268,1.0889406,0.6032694,6.742944,3.287813,5.991534,2.4957952,0.33265975,0.76337224,8.834532,1.6370723,13.2046995,0.98038185,4.4247675,3.173572,-0.5030199,-22.55785,0.010458021,1.2444634,0.7371837,1.0249797,11.062803,0.22556438,14.5812845,0.6197701,28.016043,0.27056402,744.5783,0.30977193,1402.1771,0.16830829,-95.83641,-0.88726866,1840.925,0.13866669,1159.5671,0.25416905,-98.11186,-0.79627335,2859.3767,0.0927222,1004.9448,0.26548564,-100.20745,-0.7590446,-18.049091,-0.5504545,28.91276,0.3462234,0.04608355,0.59142953,-0.014228292,-1.0759975,0.42358285,0.5472383,18.404875,0.51865,20.239517,0.53020626,6.255885,2.7500136,-3.194297,-4.2730966,2.2293885,4.542428,0.011741004,0.009236431,0.19367787,3.8076155,3.0364373,0.19,0.124793164,0.11125,0.08623188,-18.401716,0
34.99866,0.057508297,33.46476,34.593002,36.747185,3.282425,44.941563,62.774746,18.46128,9.722256,0.8743499,0.3315676,0.585811,0.8623374,1.1010202,0.5152092,6.645442,3.2803686,4.743283,3.3989882,0.31805065,0.68553,13.726695,0.8942025,18.855295,0.6171689,9.321145,1.5645552,-0.044483326,-311.72906,0.009585163,0.98498833,0.6164776,0.99401474,11.233052,0.20723578,12.445365,0.7088403,27.22812,0.32291004,729.1238,0.32391882,1396.4518,0.15922192,-59.37997,-1.237987,1828.7096,0.13344577,1098.289,0.19454981,-68.70305,-0.933189,2848.722,0.09415625,993.77747,0.31194454,-69.64795,-0.9102863,-19.835888,-0.38351765,29.405127,0.2872246,0.040352285,0.6512737,-0.014032424,-1.1734937,0.3375347,0.6197156,18.25444,0.46370667,22.699638,0.37900653,10.57531,1.46612,-0.86172146,-17.521498,0.8227769,6.2688823,0.015969783,0.0093418155,0.24510929,3.8076155,2.4340773,0.31416667,0.2923599,0.07666666,0.034960292,-17.619335,0
35.33688,0.08052738,33.29318,35.330322,37.355663,4.0624847,32.36096,22.222784,13.220228,10.468033,0.8363264,0.36288053,0.5174087,0.82212496,1.0819864,0.5645777,8.10973,4.4313326,5.9707284,2.64736,0.3548379,0.7291057,10.708601,1.2713467,15.06881,0.8157906,7.2657895,1.7653353,0.5135023,20.491684,0.012641396,1.2884929,0.76387084,0.85371864,10.869416,0.23240061,14.194455,0.7384129,27.106157,0.3081058,689.72626,0.3411678,1439.8757,0.17506275,-77.45471,-1.080099,1765.1586,0.12310252,1182.8389,0.2490783,-83.361725,-0.89158696,2779.7183,0.0895736,998.56146,0.30332354,-84.9684,-0.8595582,-18.840582,-0.4551151,29.081,0.32166544,0.04533631,0.5561569,-0.012395636,-1.1799314,0.42519474,0.5761567,17.739857,0.52392393,20.5546,0.45228592,8.99186,1.5698259,-0.39898145,-29.76908,2.738034,3.8144028,0.013063342,0.009651213,0.1904893,4.6092186,2.2312374,0.30181816,0.26713353,0.12636364,0.111377545,-18.062067,0
34.573956,0.06400815,32.84557,34.32431,35.861355,3.0157852,14.80583,8.080097,16.687855,4.8789177,0.87947345,0.39117023,0.5816409,0.8019729,1.1225021,0.5408612,7.399681,3.6112323,5.367443,3.5432177,0.33356312,0.6852626,13.460008,0.89868325,16.636696,0.74909896,7.0271196,2.2487187,1.7554325,6.636866,0.010921262,0.8700665,0.70665145,0.93104,10.688547,0.21754879,11.782815,0.91425,27.23238,0.30623958,688.6034,0.35693592,1423.7308,0.17635916,-62.747803,-1.2394958,1749.3453,0.13386434,1187.9691,0.2565687,-70.71054,-0.97732806,2763.9404,0.0844479,970.2949,0.26589736,-73.137726,-0.9215252,-17.96514,-0.45102283,28.49292,0.28497714,0.03983402,0.66050005,-0.011918399,-1.2633628,0.36037502,0.60379344,18.207987,0.4899981,20.558744,0.50150764,8.607963,1.9870929,0.86833656,14.86673,0.09777023,7.2262015,0.014210795,0.0069650686,0.2583269,4.008016,2.2312374,0.3318182,0.28447136,0.09636364,0.036994524,-18.38964,0
34.78427,0.07040455,32.456253,34.593517,36.496063,4.03981,23.32353,11.60817,8.830125,6.663681,0.8532101,0.35521913,0.55309284,0.8014795,1.1288183,0.57572544,7.658419,3.222779,5.8494263,3.1710012,0.33661735,0.6872795,11.941418,1.0892639,13.938773,0.8733182,4.0578103,2.9980354,0.096138954,113.38194,0.010389047,0.98493683,0.7858505,0.888421,10.529095,0.23215403,10.63131,1.0285963,27.781628,0.27992037,720.8447,0.33129582,1346.544,0.14023711,-77.131805,-1.0806496,1768.4895,0.14361769,1143.5095,0.23386106,-82.84827,-0.9061529,2796.8196,0.08355551,1046.0115,0.33392662,-86.12843,-0.84301865,-17.125605,-0.50713396,28.509119,0.32772812,0.04499982,0.5178132,-0.0149808265,-1.1919678,0.3983212,0.5444058,18.476282,0.5089402,18.873898,0.5141349,4.9774323,2.7572525,-2.0351326,-5.956365,0.81166875,6.115092,0.014380594,0.007955391,0.20710741,5.0100203,2.8397567,0.23214285,0.1191145,0.099999994,0.044561353,-18.978703,0
35.151287,0.074697554,32.634495,34.550594,37.594055,4.9595604,33.91227,46.066082,9.801718,10.29172,0.85090566,0.28175774,0.62893456,0.8208201,1.0555952,0.4266606,5.7804155,2.8165774,4.4464283,2.0365856,0.32367614,0.6149644,13.577748,0.79324245,17.716904,0.6975438,9.840089,1.1884328,2.9622426,3.806465,0.01010723,0.9460094,0.6191393,0.8510071,11.313084,0.21951666,13.693558,0.62771887,26.8346,0.25687075,715.0505,0.33388552,1442.4323,0.17425728,-64.82318,-1.1535841,1810.6733,0.1181626,1184.2415,0.24521917,-71.785126,-0.92221797,2803.2896,0.08052348,1006.92365,0.2350891,-72.815155,-0.89958185,-20.04367,-0.3870581,29.52457,0.29227138,0.04030066,0.5135155,-0.012183114,-1.2715503,0.3500544,0.5429083,17.819197,0.4364593,22.45407,0.36466056,12.112369,0.96048856,2.0424218,5.998241,0.38307244,6.981792,0.012083065,0.008410949,0.23636056,5.210421,2.2312374,0.33636364,0.2797165,0.091818176,0.04950999,-17.586552,0
34.952,0.07013605,32.661156,35.173374,37.241577,4.5804214,19.70448,10.275903,20.756409,8.917808,0.8535442,0.43813857,0.49586487,0.7437816,1.1239799,0.62811506,7.057604,3.6225965,5.6224113,3.3242853,0.32347584,0.762814,10.63474,1.3194298,13.0504465,0.9510042,3.262029,4.6066403,-0.120021984,-105.13848,0.0108917765,0.97549546,0.74293953,0.8425531,10.895519,0.21902467,11.52749,0.78788406,27.128212,0.26853713,757.3469,0.322706,1368.198,0.16123976,-87.801094,-0.98093945,1831.7551,0.13728397,1109.6991,0.18999125,-91.222336,-0.8627735,2856.226,0.09069571,1045.4901,0.35237324,-93.74404,-0.8154942,-18.385658,-0.43136787,29.934156,0.2681138,0.043030456,0.5807114,-0.016206779,-1.1305398,0.40244612,0.5649177,18.762615,0.48594683,19.539545,0.48497924,5.6227527,3.096149,-1.7787788,-8.374424,2.2304585,4.535782,0.0131800575,0.00902998,0.16829231,3.4068139,2.0283976,0.308,0.16296011,0.16499999,0.11307077,-18.206934,0
34.442265,0.059146233,32.41708,34.201923,36.40526,3.9881783,48.72706,61.797943,14.742292,7.4188104,0.86464363,0.33181906,0.62348306,0.82854193,1.037011,0.41352797,6.5506673,2.0872688,5.573452,2.4984946,0.32882422,0.6526291,13.738976,0.8688584,17.240374,0.77399755,9.205048,1.3994231,4.4818816,2.2028437,0.008975787,0.8582609,0.63338244,0.9406908,11.091755,0.1826292,11.708059,0.8473917,27.771229,0.19471204,690.16016,0.36331713,1442.0394,0.14602442,-66.390724,-1.1708533,1765.6321,0.13101685,1151.4933,0.22989437,-73.51817,-0.93225086,2804.5366,0.09887332,1008.05524,0.28185317,-76.372475,-0.87221926,-19.789621,-0.39715898,30.334717,0.2742573,0.03971375,0.5155156,-0.011885834,-1.3251227,0.3620053,0.58831817,19.416416,0.3601162,21.9568,0.48703292,10.50454,1.3109556,3.7738767,2.8780286,1.0524266,6.2046323,0.009001058,0.010303174,0.2284616,4.208417,2.4340773,0.29999998,0.16370705,0.083076924,0.03624375,-17.791704,0
35.087597,0.086009435,33.00898,34.671494,37.620457,4.611477,30.042683,11.618182,14.224262,8.699976,0.79631287,0.38771552,0.50511706,0.7312386,0.99968326,0.4945662,6.8269467,4.3694506,4.5772233,2.4951782,0.30740872,0.79709005,8.921853,1.446883,12.734111,1.0864627,7.074383,1.8983222,3.8987412,2.4721196,0.010158652,1.0213883,0.7186528,0.99850625,11.135058,0.20458572,14.072324,0.69767827,26.58451,0.28227845,704.03094,0.36447003,1386.1772,0.20857307,-95.64628,-0.91263914,1776.4714,0.12750925,1122.8457,0.213206,-98.04818,-0.805743,2784.1511,0.09354717,1009.7904,0.34830496,-99.618416,-0.77863735,-18.787611,-0.45159015,28.73785,0.30173135,0.037369084,0.59447485,-0.009945507,-1.4416187,0.38547173,0.6208407,17.403332,0.46365944,20.33439,0.55701125,11.247653,1.3297998,3.5837424,3.2530718,2.435491,4.6185718,0.013637295,0.008688956,0.18368202,3.6072147,2.4340773,0.24,0.116189495,0.15083332,0.15903135,-18.760593,0
