F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,label
35.232594,0.06423743,33.289417,34.884052,37.212273,3.9228554,19.056274,4.1954703,18.66577,11.99697,0.89821833,0.36538717,0.6161537,0.87493974,1.114164,0.49801028,5.0093846,1.884833,6.732287,3.4669404,0.34784156,0.6656567,12.649908,0.9907989,15.165294,0.8677143,9.005857,1.454377,1.7666987,6.338442,0.012617308,1.1227844,0.62842774,0.90637183,10.923608,0.23878716,13.593229,0.7934772,26.27325,0.25567424,725.8491,0.3112236,1369.3048,0.16259795,-67.06244,-1.1533631,1804.7277,0.11135083,1107.1652,0.22101,-73.917465,-0.9349527,2793.451,0.08118633,936.302,0.3743258,-75.81308,-0.8935791,-18.87476,-0.4735241,28.876406,0.3174397,0.040892527,0.5096233,-0.013439875,-1.2515855,0.3971368,0.58196074,18.4411,0.44654644,19.892025,0.55004853,9.994615,1.4430004,0.9510746,12.913601,0.84889674,6.2800198,0.009612116,0.008372458,0.22377613,4.016064,2.4590163,0.295,0.16987741,0.07714286,0.033685215,-17.556362,0
36.087482,0.070706464,34.267746,36.38472,38.51293,4.245186,40.06907,19.09054,22.126389,8.393855,0.76272106,0.4318718,0.4824584,0.66201746,1.0427175,0.56025904,5.3469553,2.147819,5.8593044,2.4056733,0.30154574,0.8229167,5.8121924,2.4096696,10.589416,1.2317669,5.384159,2.3797224,1.1479293,6.899699,0.010177101,0.9234379,0.66979456,0.9281806,11.253849,0.20715353,15.716938,0.4782144,25.50294,0.27431324,721.5549,0.32116926,1426.5804,0.1216957,-114.78438,-0.74014723,1829.9772,0.121470585,1101.497,0.19332825,-113.2584,-0.70497507,2837.0676,0.09842539,994.3164,0.24672845,-114.377426,-0.68662465,-17.164608,-0.6053311,26.54805,0.3839666,0.04205961,0.66964424,-0.011650062,-1.0636998,0.42395058,0.5357633,16.57923,0.5819522,18.21977,0.6417149,9.269612,1.7077819,-0.66396475,-14.935815,3.1615598,3.513042,0.013093237,0.010152324,0.16945489,3.2128513,3.2921813,0.1475,0.050682835,0.13625,0.108620614,-19.165436,0
35.94919,0.054869898,34.27591,35.598072,37.48476,3.2088509,59.847996,70.627625,19.10895,12.004584,0.87058336,0.36027595,0.5761936,0.8190517,1.1408467,0.56465316,5.150245,3.1429403,4.6756396,2.1153507,0.30183017,0.7714845,12.960094,0.9337941,17.28812,0.6427532,8.089078,1.7949305,0.31503612,36.87756,0.008841914,1.1035653,0.58538014,1.0039468,11.762583,0.20633897,11.37855,0.7586165,24.421219,0.37992135,756.38336,0.31757456,1399.3451,0.15659204,-64.01325,-1.1661099,1841.1382,0.1256068,1083.8877,0.17340623,-70.331024,-0.93747383,2886.868,0.08649938,996.3651,0.31748405,-71.533394,-0.90761256,-19.744785,-0.38382035,29.132692,0.275903,0.041765865,0.68353623,-0.012810298,-1.1001357,0.34253103,0.677547,17.828154,0.47732276,20.707127,0.42501834,9.373291,1.6752183,-1.3194231,-9.567308,0.8578276,6.622127,0.016666405,0.009337528,0.17311525,3.2128513,2.469136,0.305,0.24831094,0.08,0.029439203,-17.26443,0
35.737366,0.067799084,33.655315,35.39296,37.24615,3.5908356,25.851942,15.950731,10.025568,8.364789,0.91186017,0.34738228,0.59581244,0.8941204,1.1288793,0.53306687,8.580051,5.001898,4.530268,2.3799546,0.41044176,0.6211974,13.051052,1.0421071,15.606508,0.7940526,7.8062763,1.7745115,-0.55668885,-18.023754,0.01036246,0.99977064,0.70249945,0.9948691,11.130091,0.23246841,12.926254,0.78789765,26.258266,0.33822182,710.07416,0.3164315,1451.1621,0.18716982,-65.537796,-1.158819,1789.1523,0.121160775,1160.4004,0.23037866,-72.64763,-0.9244308,2826.8838,0.08438456,1012.7827,0.34776986,-74.38516,-0.88455087,-18.791054,-0.49721506,28.900848,0.361993,0.04522743,0.44955236,-0.014286257,-1.0466688,0.4430137,0.5404639,18.415606,0.5406055,19.547615,0.5218045,8.083587,1.8809955,-1.3450962,-8.249656,2.2858074,4.224302,0.017209018,0.009711336,0.2864705,5.2208834,2.8806586,0.25428572,0.14371173,0.07285714,0.016659863,-17.038382,0
35.904278,0.05732279,34.498844,35.161846,37.21611,2.717266,12.066723,7.305693,6.713042,9.97659,0.9445971,0.3564404,0.6346712,0.8865984,1.1910863,0.5564151,6.8838167,2.9126782,6.5268893,4.3340783,0.3652332,0.639017,15.080274,0.75658625,16.52002,0.7423251,6.123915,2.6486096,-0.25363466,-50.90361,0.008609306,0.8447338,0.6980868,0.91214937,11.495521,0.20250072,15.118273,0.77300227,27.668718,0.35680562,711.05096,0.34349078,1424.1606,0.19912374,-49.38485,-1.4065392,1764.217,0.12803361,1221.2659,0.2492065,-59.272278,-1.0168092,2767.5483,0.08649343,961.59686,0.261921,-61.921307,-0.94960856,-18.40122,-0.46568763,29.087,0.284901,0.046624426,0.59987414,-0.010001155,-1.4073275,0.37940815,0.5675222,18.321785,0.49176025,18.897594,0.56718785,7.011893,2.4298577,-1.3816074,-9.999785,-0.17927483,8.891809,0.02015651,0.008802822,0.33078003,3.6144578,2.0576134,0.394,0.28203547,0.072,0.021354156,-17.256401,0
36.19733,0.061524842,34.405445,36.07966,38.262745,3.8572998,28.077856,14.040903,2.9633713,8.72444,0.8776027,0.33915234,0.62034464,0.8228085,1.0878162,0.4674716,8.016083,2.9744692,6.039823,3.456586,0.37138745,0.6335355,12.322561,0.9569305,13.918869,0.912706,5.183614,2.450249,0.20214558,52.37942,0.011327941,1.0014877,0.74805325,0.849602,11.320885,0.20951973,14.077473,0.7396389,25.877052,0.33851942,768.0776,0.32123375,1366.229,0.1547744,-73.979614,-1.0695219,1798.4917,0.13552749,1153.2228,0.27589905,-77.16877,-0.9225052,2827.9006,0.08196452,996.9428,0.31034026,-79.8891,-0.8672057,-18.74667,-0.46759343,29.760628,0.31114382,0.047461182,0.48700696,-0.013047004,-1.2288526,0.43019757,0.5053708,17.859253,0.48063022,18.971462,0.52487826,6.879061,2.0514371,-1.4364202,-8.0673065,0.4193048,6.6491203,0.016468216,0.007923461,0.22628081,5.2208834,2.4590163,0.28666666,0.11953614,0.084285714,0.04806458,-17.834467,0
35.081806,0.085997604,32.450535,33.76112,37.948513,5.497978,36.67045,56.42297,18.390385,8.8043,0.91712064,0.29453006,0.6570876,0.9018591,1.1791224,0.5220348,6.2552443,2.943132,3.801687,1.9279152,0.3136138,0.57709444,16.050554,0.6592567,18.645292,0.5598683,7.870518,1.5905558,0.5895929,22.577448,0.0096777715,1.0539594,0.5926092,0.7620533,11.377629,0.22503282,11.570011,0.761183,27.341135,0.2710528,711.9486,0.33432725,1424.2579,0.16440292,-44.858017,-1.4437281,1806.6648,0.12536032,1187.7434,0.25760666,-55.6497,-1.017333,2801.3057,0.07476805,989.71045,0.23894219,-57.71069,-0.96274835,-19.781666,-0.34178555,30.000538,0.24600159,0.04058328,0.49328768,-0.014470696,-1.1673454,0.33797246,0.51263946,19.360037,0.3782859,21.465363,0.3525366,8.8103075,1.4655224,-0.2768992,-51.215664,2.120872,4.7679605,0.0153350225,0.009164019,0.16287734,4.4176707,1.234568,0.6866666,0.24783505,0.103333324,0.03681787,-17.203207,0
35.47231,0.076336406,33.30858,35.990364,37.7334,4.42482,24.274553,10.933927,11.46332,10.5306635,0.87360317,0.41621333,0.5525965,0.79554147,1.0995868,0.54699033,5.320259,3.0829914,3.4406087,2.8974977,0.32767007,0.7389087,11.78036,1.102582,15.011962,0.87863624,5.6680727,2.8499184,0.5878052,22.207624,0.012496354,1.0031073,0.65379375,0.8831884,11.4565,0.20801401,13.906995,0.5808326,27.098932,0.24752429,784.88025,0.31440333,1394.3241,0.17294323,-77.35068,-1.0590881,1865.5184,0.12617978,1108.9352,0.19984698,-81.89154,-0.900983,2871.1453,0.08944038,1128.0143,0.3842095,-83.49552,-0.8661257,-20.008987,-0.38824096,31.154396,0.24978577,0.04264772,0.5879051,-0.013960968,-1.1745998,0.40219784,0.59188384,18.04568,0.459823,21.476074,0.4426008,9.331501,1.8653812,-0.5740811,-26.03459,3.0124736,3.531774,0.01354078,0.009616099,0.14217076,3.6144578,1.6460906,0.42249998,0.11166356,0.16499999,0.10781929,-17.264803,0
35.149025,0.055398576,33.288006,35.286606,36.62178,3.3337746,26.046864,19.493944,13.444791,4.1347365,0.9202148,0.3601538,0.6279161,0.8677921,1.1225984,0.4946823,6.8273377,2.1294177,5.742665,2.6398225,0.37165743,0.64407,14.227396,0.8819347,15.992373,0.8933936,8.327034,1.6973819,4.3988996,2.3535807,0.009740579,0.7959027,0.6393386,0.91703504,11.4908285,0.17574583,10.715615,0.9412187,26.314905,0.19474232,737.41254,0.33605078,1465.5066,0.16971986,-70.03964,-1.1004207,1801.2648,0.114007704,1184.3678,0.25282001,-73.81797,-0.92577446,2841.166,0.09128623,986.11566,0.2840771,-76.81204,-0.8624949,-20.21516,-0.42728764,31.199638,0.28574514,0.038015235,0.61334914,-0.012046837,-1.3030037,0.41731912,0.5587336,20.017775,0.3645281,20.15922,0.62524706,9.21023,1.6911044,4.2939787,2.6616392,1.9605705,5.054474,0.011085239,0.0104253655,0.24254799,4.016064,2.469136,0.29666665,0.13034143,0.08833333,0.030776974,-16.451128,0
35.364628,0.06467835,33.24045,34.474186,37.57983,4.3393784,26.019867,11.654382,13.406665,7.389703,0.83794385,0.36364076,0.53612685,0.79056615,1.059022,0.5228951,7.8020697,4.577651,4.6836634,2.5178773,0.35103104,0.7163415,10.835745,1.1865548,13.914126,0.973777,7.369362,1.742233,4.090713,2.4579692,0.01102469,1.0885395,0.77725416,1.0384904,11.116521,0.18792415,17.12188,0.5393268,28.638466,0.237011,685.73553,0.35494152,1364.6506,0.20709148,-87.4189,-0.9751119,1758.8254,0.13336721,1150.1566,0.24570481,-90.21733,-0.8453388,2770.4204,0.088352636,1036.3044,0.35051298,-92.08111,-0.8112667,-18.851885,-0.4810314,28.785196,0.31746092,0.039955612,0.6008445,-0.010274941,-1.5427599,0.42820165,0.55564964,18.077667,0.4641744,19.919193,0.58146113,10.527317,1.3334707,3.9882572,3.006007,1.6460555,5.8373075,0.012162633,0.008166589,0.20692137,4.016064,2.8806586,0.21714285,0.13477115,0.11,0.040708017,-17.9657,0
